frame,track_id,class_id,x1,y1,x2,y2,cx,cy,pitch_x,pitch_y,team_id_x,team_id_y,team_id
22,5,2,265.29126,450.28088,271.41803,471.5305,268.35464,471.5305,30.92526,87.413536,,0.0,0.0
23,8,0,348.5597,481.81665,353.2545,492.97327,350.9071,492.97327,12.307946,115.16048,1.0,,
23,9,3,226.30179,466.85297,234.78322,486.75763,230.54251,486.75763,41.785847,109.95317,,,
23,10,2,295.3633,440.8587,301.38553,458.4874,298.37442,458.4874,21.726782,67.0451,,0.0,0.0
23,12,2,286.70224,447.90622,290.61362,461.47977,288.65793,461.47977,24.636703,71.864456,,0.0,0.0
23,3,2,206.61511,427.93234,211.38045,444.5511,208.99777,444.5511,45.608616,45.44247,,0.0,0.0
23,1,0,318.73807,461.4192,324.36154,476.58408,321.5498,476.58408,17.665455,93.57221,1.0,,
23,6,2,233.74825,441.54498,240.05652,459.91125,236.90237,459.91125,38.557064,70.333084,,0.0,0.0
23,5,2,265.49594,450.29785,271.4589,471.22675,268.47742,471.22675,30.868399,86.96346,,0.0,0.0
24,8,0,349.25772,481.43542,353.65955,492.93362,351.45862,492.93362,12.1704,115.09456,1.0,,
24,9,3,226.34657,466.7709,234.92159,486.6067,230.63408,486.6067,41.754456,109.74346,,,
24,12,2,286.75616,447.65952,290.9197,461.24506,288.83795,461.24506,24.565329,71.498604,,0.0,0.0
24,10,2,295.3332,440.35757,301.61807,458.3055,298.47565,458.3055,21.680151,66.75856,,0.0,0.0
24,3,2,206.69829,428.17697,211.5788,444.82782,209.13855,444.82782,45.580612,45.917427,,0.0,0.0
24,5,2,265.57028,450.38684,271.57153,471.18774,268.57092,471.18774,30.840601,86.903984,,0.0,0.0
24,1,0,318.74332,461.25876,324.54233,476.23114,321.64282,476.23114,17.602371,93.068665,1.0,,
24,6,2,233.74925,441.52423,240.23816,459.55167,236.99371,459.55167,38.509052,69.76465,,0.0,0.0
25,8,0,349.2758,481.40518,353.71088,492.95502,351.49335,492.95502,12.164599,115.121544,1.0,,
25,9,3,226.36412,466.81534,234.87186,486.48618,230.61798,486.48618,41.752426,109.57821,,,
25,13,2,168.83884,436.62482,174.2378,452.0547,171.53831,452.0547,56.745346,58.67773,,0.0,0.0
25,12,2,286.76828,447.5994,291.0522,461.4684,288.91022,461.4684,24.568115,71.84246,,0.0,0.0
25,10,2,295.27142,440.38586,301.57306,458.50168,298.42224,458.50168,21.715488,67.06666,,0.0,0.0
25,14,2,221.5204,422.2347,224.50877,433.85144,223.01459,433.85144,40.901512,26.329327,,0.0,0.0
25,3,2,206.70338,428.1908,211.62808,444.5825,209.16574,444.5825,45.561176,45.494587,,0.0,0.0
25,1,0,318.7424,461.42923,324.43362,476.1404,321.588,476.1404,17.606123,92.940796,1.0,,
25,5,2,265.553,450.30026,271.59573,471.02808,268.57437,471.02808,30.826769,86.66836,,0.0,0.0
26,8,0,349.83295,481.09415,353.88477,492.8994,351.85886,492.8994,12.069933,115.03962,1.0,,
26,12,2,286.73212,447.25424,290.76773,460.6103,288.74994,460.6103,24.525936,70.51708,,0.0,0.0
26,13,2,167.6995,435.5491,173.8702,451.6212,170.78485,451.6212,56.958103,57.965103,,0.0,0.0
26,9,3,227.11246,467.39996,235.43358,486.8161,231.27301,486.8161,41.60025,110.014626,,,
26,10,2,295.23547,439.9299,301.65497,457.93723,298.44522,457.93723,21.64881,66.181435,,0.0,0.0
26,14,2,221.34247,422.14972,224.54323,433.81403,222.94284,433.81403,40.920574,26.261541,,0.0,0.0
26,5,2,265.72974,450.21045,271.78653,470.5711,268.75812,470.5711,30.741226,85.98931,,0.0,0.0
26,3,2,206.7024,429.06616,211.92706,445.0322,209.31473,445.0322,45.53896,46.26682,,0.0,0.0
26,1,0,318.74548,461.25052,324.64603,476.4225,321.69574,476.4225,17.610367,93.3395,1.0,,
27,8,0,350.41635,480.00427,354.41464,492.96426,352.4155,492.96426,11.943732,115.109764,1.0,,
27,12,2,286.66992,445.97064,290.66196,460.0982,288.66595,460.0982,24.497543,69.72307,,0.0,0.0
27,13,2,166.80716,434.1571,172.84654,451.07855,169.82684,451.07855,57.2296,57.070484,,0.0,0.0
27,14,2,221.30472,421.87094,224.77147,433.99316,223.03809,433.99316,40.90325,26.587723,,0.0,0.0
27,15,2,148.74698,443.60962,155.40552,456.6949,152.07625,456.6949,62.434998,66.65364,,0.0,0.0
27,10,2,295.12192,439.61487,301.66348,457.7396,298.3927,457.7396,21.641687,65.871864,,0.0,0.0
27,5,2,265.5028,450.48492,271.79843,470.7844,268.65063,470.7844,30.786907,86.30689,,0.0,0.0
27,1,0,318.74594,461.28815,324.74374,476.3239,321.74484,476.3239,17.586872,93.19833,1.0,,
28,8,0,350.42258,479.9917,354.41278,492.96622,352.41766,492.96622,11.943445,115.11225,1.0,,
28,12,2,286.67,446.04575,290.6562,460.15158,288.6631,460.15158,24.503624,69.80613,,0.0,0.0
28,13,2,166.82007,434.24304,172.8849,451.02667,169.85248,451.02667,57.221375,56.98304,,0.0,0.0
28,14,2,221.33125,421.8568,224.77226,434.0019,223.05176,434.0019,40.89972,26.60354,,0.0,0.0
28,15,2,148.7469,443.605,155.39642,456.70404,152.07166,456.70404,62.43633,66.66867,,0.0,0.0
28,10,2,295.15994,439.61246,301.62927,457.72485,298.3946,457.72485,21.639595,65.84867,,0.0,0.0
28,5,2,265.50244,450.46066,271.79395,470.79034,268.6482,470.79034,30.788034,86.31574,,0.0,0.0
28,1,0,318.74603,461.31778,324.72525,476.3003,321.73566,476.3003,17.586557,93.164955,1.0,,
29,8,0,350.51892,479.84348,354.67676,493.02365,352.59784,493.02365,11.906997,115.18243,1.0,,
29,12,2,286.53012,445.11655,290.42786,459.60553,288.479,459.60553,24.498676,68.9589,,0.0,0.0
29,16,2,196.43256,445.58768,201.9493,463.13208,199.19092,463.13208,49.16003,76.07529,,0.0,0.0
29,14,2,221.15054,421.34708,225.01753,434.03098,223.08405,434.03098,40.891903,26.65634,,0.0,0.0
29,15,2,148.74672,444.05118,155.25565,456.77893,152.00119,456.77893,62.456753,66.792175,,0.0,0.0
29,13,2,164.03319,432.97263,171.29701,450.91043,167.6651,450.91043,57.858997,56.820366,,0.0,0.0
29,10,2,295.26422,439.50073,301.74606,457.51822,298.50513,457.51822,21.587666,65.52192,,0.0,0.0
29,5,2,265.35162,450.68143,272.31174,471.23428,268.83167,471.23428,30.77566,86.96713,,0.0,0.0
29,3,2,206.94492,429.02432,212.7665,444.84818,209.85571,444.84818,45.372936,45.943787,,0.0,0.0
30,8,0,350.51517,479.77606,354.69644,492.99652,352.6058,492.99652,11.901815,115.14688,1.0,,
30,12,2,286.5369,445.08838,290.42593,459.62656,288.4814,459.62656,24.500124,68.99165,,0.0,0.0
30,16,2,196.4606,445.74237,201.95512,463.0774,199.20786,463.0774,49.15339,75.989586,,0.0,0.0
30,14,2,221.14886,421.4177,224.94719,433.98697,223.04803,433.98697,40.89991,26.576353,,0.0,0.0
30,17,2,197.79533,453.47256,203.15387,475.21072,200.47461,475.21072,49.22562,94.31112,,0.0,0.0
30,15,2,148.7465,444.0404,155.26108,456.80545,152.00378,456.80545,62.455994,66.83543,,0.0,0.0
30,13,2,163.81384,432.55273,171.17503,450.821,167.49445,450.821,57.9078,56.67261,,0.0,0.0
30,10,2,295.4176,439.66437,301.7862,457.48965,298.6019,457.48965,21.558577,65.475395,,0.0,0.0
30,5,2,265.28745,451.0092,272.26202,471.55533,268.77472,471.55533,30.816652,87.441246,,0.0,0.0
30,3,2,206.94524,428.99677,212.78441,444.91336,209.86482,444.91336,45.373383,46.055813,,0.0,0.0
31,8,0,350.54266,479.06735,355.15244,493.09436,352.84753,493.09436,11.855436,115.26807,1.0,,
31,12,2,286.34607,444.5776,290.21494,459.364,288.28052,459.364,24.527964,68.585365,,0.0,0.0
31,16,2,196.57535,445.49655,201.94937,462.55417,199.26236,462.55417,49.11974,75.17048,,0.0,0.0
31,3,2,207.39906,428.81915,212.99521,444.91684,210.19714,444.91684,45.27692,46.05777,,0.0,0.0
31,15,2,148.74493,443.87048,155.11711,456.71384,151.93103,456.71384,62.477127,66.687096,,0.0,0.0
31,14,2,221.07545,421.31863,225.19775,433.8742,223.1366,433.8742,40.866585,26.370007,,0.0,0.0
31,5,2,265.35,450.6729,272.28772,470.3041,268.81885,470.3041,30.70347,85.59281,,0.0,0.0
31,10,2,296.18362,439.2045,302.12897,457.13898,299.1563,457.13898,21.371614,64.914116,,0.0,0.0
31,13,2,161.64426,431.3747,170.36096,450.40033,166.00261,450.40033,58.339664,55.986397,,0.0,0.0
31,17,2,198.20416,453.94565,203.06036,474.7722,200.63226,474.7722,49.168175,93.664505,,0.0,0.0
32,8,0,350.57043,478.9203,355.56308,493.07516,353.06677,493.07516,11.800388,115.2374,1.0,,
32,12,2,286.1768,443.77338,289.8951,459.01602,288.03595,459.01602,24.559082,68.04555,,0.0,0.0
32,18,0,259.31046,474.48196,265.78348,484.84042,262.54697,484.84042,33.445267,106.50529,1.0,,
32,16,2,196.73093,445.51508,202.01854,462.18198,199.37473,462.18198,49.075207,74.58505,,0.0,0.0
32,15,2,148.7456,443.64465,155.07289,456.47324,151.90924,456.47324,62.483532,66.29424,,0.0,0.0
32,14,2,221.16406,421.059,225.33601,434.15897,223.25003,434.15897,40.850407,26.888407,,0.0,0.0
32,3,2,207.77524,428.7141,213.4171,444.45786,210.59616,444.45786,45.138832,45.26267,,0.0,0.0
32,9,3,232.0229,466.10733,240.45723,486.4175,236.24007,486.4175,40.297768,109.33963,,,
32,13,2,160.90738,429.41855,168.26877,450.38043,164.58807,450.38043,58.75421,55.973595,,0.0,0.0
32,5,2,265.61008,450.51407,272.56976,470.38504,269.0899,470.38504,30.63849,85.707054,,0.0,0.0
32,10,2,297.04706,438.9902,302.04947,456.60602,299.54828,456.60602,21.208242,64.06656,,0.0,0.0
